iter	Passed	Remaining
0	78	78841
1	124	62247
2	170	56606
3	211	52592
4	247	49293
5	282	46753
6	317	45019
7	351	43608
8	388	42822
9	424	41988
10	460	41385
11	498	41004
12	533	40509
13	570	40187
14	613	40266
15	653	40162
16	684	39582
17	718	39198
18	750	38731
19	781	38296
20	810	37770
21	838	37284
22	867	36844
23	895	36400
24	925	36087
25	956	35825
26	986	35554
27	1031	35824
28	1067	35730
29	1105	35743
30	1143	35755
31	1182	35781
32	1217	35674
33	1250	35530
34	1283	35386
35	1313	35171
36	1342	34946
37	1379	34911
38	1410	34753
39	1436	34478
40	1467	34327
41	1502	34282
42	1543	34342
43	1577	34269
44	1623	34460
45	1660	34444
46	1700	34475
47	1731	34337
48	1765	34267
49	1795	34120
50	1826	33980
51	1854	33805
52	1884	33667
53	1911	33491
54	1941	33361
55	1971	33226
56	2017	33381
57	2049	33292
58	2080	33177
59	2110	33058
60	2143	32988
61	2172	32866
62	2217	32981
63	2250	32919
64	2280	32805
65	2307	32660
66	2336	32537
67	2366	32428
68	2393	32288
69	2432	32318
70	2469	32306
71	2501	32246
72	2530	32138
73	2561	32053
74	2590	31948
75	2619	31847
76	2657	31852
77	2693	31833
78	2722	31733
79	2749	31621
80	2778	31520
81	2808	31446
82	2873	31748
83	2926	31914
84	2978	32058
85	3048	32401
86	3097	32504
87	3149	32636
88	3198	32742
89	3247	32838
90	3299	32962
91	3350	33063
92	3396	33120
93	3439	33150
94	3487	33225
95	3531	33251
96	3568	33220
97	3600	33141
98	3632	33057
99	3664	32983
100	3697	32915
101	3729	32833
102	3766	32805
103	3796	32708
104	3824	32602
105	3852	32489
106	3880	32385
107	3912	32312
108	3948	32273
109	3979	32196
110	4036	32325
111	4074	32307
112	4104	32220
113	4133	32126
114	4184	32205
115	4231	32245
116	4269	32220
117	4303	32165
118	4332	32077
119	4361	31986
120	4390	31891
121	4422	31827
122	4465	31842
123	4503	31816
124	4531	31717
125	4557	31612
126	4589	31546
127	4621	31485
128	4650	31399
129	4679	31314
130	4706	31222
131	4734	31135
132	4764	31058
133	4795	30992
134	4825	30918
135	4852	30826
136	4881	30751
137	4908	30657
138	4936	30575
139	4965	30502
140	4994	30425
141	5052	30530
142	5082	30458
143	5110	30379
144	5138	30296
145	5166	30220
146	5197	30159
147	5232	30120
148	5263	30063
149	5295	30009
150	5326	29946
151	5356	29883
152	5389	29835
153	5419	29769
154	5454	29737
155	5493	29722
156	5526	29676
157	5555	29604
158	5583	29531
159	5612	29465
160	5647	29427
161	5676	29361
162	5701	29277
163	5730	29211
164	5760	29152
165	5789	29088
166	5819	29026
167	5847	28958
168	5878	28906
169	5905	28834
170	5935	28773
171	5962	28701
172	5989	28630
173	6016	28560
174	6083	28680
175	6116	28634
176	6147	28586
177	6180	28542
178	6212	28493
179	6247	28461
180	6289	28458
181	6325	28431
182	6354	28369
183	6383	28309
184	6412	28251
185	6445	28207
186	6476	28156
187	6521	28165
188	6554	28126
189	6586	28080
190	6617	28029
191	6647	27975
192	6677	27922
193	6705	27859
194	6740	27827
195	6776	27799
196	6809	27756
197	6838	27700
198	6868	27646
199	6897	27589
200	6928	27541
201	6966	27522
202	6997	27471
203	7027	27419
204	7093	27507
205	7128	27476
206	7161	27434
207	7194	27394
208	7227	27352
209	7261	27316
210	7293	27273
211	7323	27222
212	7352	27167
213	7383	27117
214	7419	27089
215	7451	27047
216	7481	26997
217	7518	26969
218	7561	26967
219	7595	26929
220	7633	26908
221	7668	26873
222	7704	26845
223	7736	26801
224	7769	26760
225	7797	26703
226	7826	26650
227	7859	26610
228	7890	26564
229	7923	26527
230	7957	26490
231	7991	26453
232	8026	26423
233	8064	26400
234	8143	26510
235	8180	26481
236	8214	26446
237	8245	26398
238	8277	26355
239	8307	26306
240	8336	26255
241	8367	26209
242	8397	26160
243	8428	26115
244	8461	26075
245	8498	26049
246	8530	26005
247	8574	26000
248	8611	25971
249	8638	25916
250	8667	25863
251	8697	25817
252	8733	25785
253	8767	25751
254	8802	25716
255	8842	25698
256	8882	25679
257	8922	25660
258	8955	25622
259	8987	25580
260	9016	25530
261	9049	25491
262	9085	25460
263	9246	25777
264	9287	25759
265	9322	25724
266	9358	25691
267	9392	25655
268	9428	25622
269	9466	25595
270	9501	25560
271	9535	25521
272	9597	25558
273	9636	25533
274	9677	25513
275	9732	25529
276	9775	25514
277	9812	25484
278	9849	25454
279	9889	25429
280	9927	25402
281	9963	25368
282	9999	25335
283	10035	25301
284	10071	25267
285	10113	25248
286	10151	25218
287	10187	25185
288	10303	25349
289	10359	25362
290	10406	25355
291	10448	25332
292	10485	25300
293	10521	25266
294	10561	25240
295	10600	25212
296	10634	25171
297	10670	25135
298	10705	25099
299	10761	25110
300	10814	25113
301	10856	25091
302	10909	25096
303	10954	25080
304	10993	25050
305	11036	25031
306	11078	25007
307	11115	24974
308	11155	24946
309	11193	24914
310	11232	24883
311	11273	24859
312	11367	24951
313	11423	24957
314	11462	24927
315	11502	24898
316	11541	24867
317	11580	24835
318	11618	24804
319	11655	24768
320	11693	24734
321	11731	24702
322	11769	24669
323	11817	24655
324	11857	24627
325	11895	24593
326	11931	24556
327	11971	24526
328	12006	24488
329	12043	24451
330	12080	24416
331	12116	24378
332	12154	24345
333	12192	24312
334	12228	24275
335	12266	24240
336	12303	24206
337	12427	24339
338	12467	24309
339	12503	24272
340	12543	24240
341	12579	24203
342	12616	24166
343	12656	24135
344	12693	24099
345	12730	24062
346	12766	24025
347	12804	23989
348	12846	23962
349	12893	23945
350	12936	23920
351	12973	23882
352	13011	23847
353	13048	23811
354	13086	23777
355	13126	23745
356	13165	23713
357	13203	23678
358	13241	23643
359	13280	23609
360	13316	23571
361	13357	23542
362	13395	23506
363	13485	23561
364	13522	23525
365	13563	23495
366	13601	23459
367	13639	23424
368	13677	23388
369	13713	23349
370	13750	23312
371	13790	23281
372	13827	23244
373	13866	23209
374	13918	23198
375	13963	23172
376	14000	23135
377	14039	23101
378	14091	23089
379	14133	23060
380	14170	23022
381	14212	22993
382	14248	22953
383	14286	22918
384	14325	22882
385	14362	22846
386	14399	22808
387	14574	22988
388	14616	22957
389	14651	22916
390	14688	22878
391	14725	22839
392	14763	22802
393	14801	22765
394	14836	22725
395	14874	22686
396	14909	22645
397	14945	22606
398	14980	22565
399	15021	22532
400	15071	22513
401	15107	22473
402	15144	22434
403	15180	22394
404	15216	22354
405	15260	22326
406	15297	22288
407	15334	22250
408	15369	22208
409	15405	22168
410	15443	22131
411	15483	22097
412	15515	22052
413	15551	22013
414	15657	22071
415	15701	22042
416	15740	22006
417	15777	21968
418	15814	21928
419	15851	21889
420	15886	21849
421	15928	21817
422	15966	21779
423	16004	21741
424	16040	21702
425	16079	21665
426	16118	21629
427	16160	21598
428	16208	21573
429	16245	21535
430	16282	21495
431	16317	21455
432	16355	21417
433	16400	21389
434	16438	21350
435	16476	21313
436	16514	21275
437	16551	21237
438	16588	21198
439	16629	21164
440	16726	21201
441	16762	21161
442	16800	21124
443	16840	21087
444	16877	21049
445	16915	21011
446	16951	20971
447	16988	20931
448	17024	20892
449	17063	20855
450	17100	20816
451	17136	20776
452	17174	20737
453	17211	20699
454	17249	20661
455	17293	20631
456	17344	20608
457	17380	20568
458	17418	20530
459	17456	20492
460	17493	20453
461	17533	20418
462	17571	20379
463	17606	20338
464	17643	20299
465	17684	20264
466	17871	20396
467	17912	20361
468	17949	20321
469	17984	20280
470	18021	20240
471	18058	20201
472	18101	20167
473	18137	20127
474	18172	20085
475	18210	20046
476	18250	20010
477	18304	19989
478	18358	19967
479	18396	19929
480	18435	19892
481	18477	19857
482	18519	19822
483	18557	19784
484	18595	19745
485	18636	19709
486	18674	19671
487	18712	19632
488	18755	19598
489	18799	19566
490	18942	19636
491	18990	19607
492	19027	19568
493	19063	19527
494	19100	19486
495	19136	19445
496	19173	19405
497	19214	19369
498	19252	19329
499	19289	19289
500	19331	19254
501	19382	19227
502	19428	19197
503	19474	19165
504	19513	19127
505	19552	19089
506	19593	19052
507	19632	19013
508	19671	18976
509	19707	18934
510	19743	18893
511	19779	18852
512	19817	18812
513	19856	18774
514	19894	18735
515	20013	18771
516	20055	18736
517	20096	18699
518	20131	18657
519	20169	18618
520	20207	18578
521	20244	18538
522	20281	18498
523	20322	18460
524	20358	18419
525	20394	18377
526	20430	18337
527	20482	18309
528	20528	18277
529	20567	18239
530	20603	18198
531	20641	18158
532	20679	18118
533	20721	18083
534	20763	18046
535	20800	18006
536	20837	17966
537	20876	17927
538	20912	17886
539	20950	17846
540	20988	17807
541	21196	17911
542	21238	17874
543	21276	17834
544	21314	17794
545	21351	17753
546	21387	17711
547	21428	17674
548	21468	17635
549	21504	17594
550	21542	17554
551	21579	17514
552	21615	17471
553	21658	17436
554	21703	17402
555	21744	17364
556	21781	17323
557	21819	17283
558	21858	17244
559	21901	17208
560	21937	17166
561	21973	17124
562	22008	17082
563	22044	17041
564	22088	17006
565	22126	16965
566	22259	16999
567	22311	16969
568	22346	16926
569	22384	16886
570	22421	16845
571	22457	16803
572	22491	16760
573	22529	16720
574	22567	16679
575	22601	16637
576	22639	16597
577	22676	16556
578	22712	16514
579	22755	16478
580	22806	16447
581	22843	16406
582	22883	16367
583	22921	16327
584	22957	16286
585	22998	16248
586	23036	16207
587	23073	16167
588	23109	16125
589	23146	16085
590	23187	16046
591	23224	16006
592	23357	16031
593	23403	15996
594	23446	15959
595	23482	15917
596	23519	15876
597	23555	15834
598	23592	15794
599	23630	15753
600	23667	15712
601	23703	15671
602	23740	15630
603	23776	15588
604	23813	15547
605	23855	15510
606	23900	15474
607	23941	15436
608	23977	15394
609	24015	15354
610	24051	15312
611	24089	15272
612	24123	15229
613	24158	15187
614	24196	15147
615	24234	15107
616	24271	15066
617	24311	15027
618	24531	15099
619	24576	15063
620	24614	15022
621	24653	14982
622	24692	14942
623	24729	14901
624	24771	14862
625	24807	14820
626	24845	14780
627	24881	14738
628	24918	14697
629	24954	14655
630	24996	14617
631	25044	14583
632	25084	14543
633	25122	14502
634	25160	14462
635	25198	14421
636	25238	14382
637	25275	14341
638	25312	14300
639	25350	14259
640	25407	14230
641	25453	14193
642	25491	14152
643	25634	14170
644	25680	14134
645	25718	14093
646	25755	14052
647	25792	14010
648	25831	13970
649	25873	13931
650	25911	13891
651	25949	13850
652	25988	13810
653	26026	13769
654	26063	13727
655	26106	13690
656	26156	13655
657	26194	13614
658	26232	13574
659	26269	13532
660	26305	13490
661	26349	13453
662	26388	13413
663	26430	13374
664	26468	13333
665	26507	13293
666	26547	13254
667	26588	13214
668	26815	13267
669	26866	13232
670	26909	13194
671	26947	13153
672	26986	13112
673	27026	13072
674	27063	13030
675	27109	12993
676	27145	12951
677	27183	12910
678	27222	12869
679	27262	12829
680	27299	12787
681	27335	12746
682	27379	12707
683	27430	12672
684	27472	12633
685	27512	12593
686	27548	12551
687	27586	12510
688	27624	12469
689	27661	12427
690	27702	12388
691	27740	12346
692	27778	12305
693	27930	12315
694	27976	12277
695	28014	12236
696	28055	12196
697	28095	12156
698	28138	12116
699	28177	12076
700	28217	12035
701	28257	11995
702	28294	11953
703	28331	11911
704	28372	11872
705	28409	11830
706	28446	11789
707	28484	11747
708	28524	11707
709	28558	11664
710	28599	11624
711	28649	11588
712	28685	11546
713	28723	11505
714	28761	11464
715	28798	11422
716	28840	11383
717	28878	11342
718	29115	11379
719	29166	11342
720	29206	11301
721	29244	11260
722	29281	11218
723	29319	11177
724	29358	11135
725	29391	11092
726	29426	11049
727	29463	11008
728	29500	10966
729	29539	10925
730	29577	10884
731	29613	10842
732	29650	10800
733	29687	10758
734	29723	10716
735	29766	10677
736	29814	10639
737	29851	10597
738	29887	10555
739	29926	10514
740	29964	10473
741	30008	10434
742	30047	10393
743	30086	10352
744	30250	10354
745	30299	10316
746	30341	10276
747	30375	10233
748	30412	10191
749	30451	10150
750	30491	10109
751	30528	10067
752	30566	10026
753	30602	9984
754	30641	9943
755	30690	9905
756	30728	9863
757	30766	9822
758	30805	9781
759	30843	9739
760	30880	9698
761	30926	9659
762	30971	9620
763	31009	9578
764	31047	9537
765	31085	9496
766	31122	9454
767	31164	9414
768	31204	9373
769	31455	9395
770	31496	9354
771	31539	9314
772	31575	9272
773	31611	9230
774	31647	9188
775	31688	9147
776	31726	9105
777	31764	9063
778	31802	9022
779	31841	8980
780	31879	8939
781	31920	8898
782	31957	8856
783	31996	8815
784	32034	8773
785	32073	8732
786	32110	8690
787	32158	8651
788	32207	8613
789	32246	8571
790	32284	8530
791	32322	8488
792	32356	8446
793	32397	8405
794	32435	8363
795	32601	8355
796	32650	8316
797	32692	8275
798	32731	8234
799	32768	8192
800	32808	8150
801	32849	8109
802	32888	8068
803	32925	8026
804	32962	7984
805	32999	7942
806	33039	7901
807	33078	7860
808	33117	7818
809	33154	7777
810	33194	7735
811	33233	7694
812	33281	7655
813	33326	7615
814	33364	7573
815	33404	7532
816	33440	7490
817	33478	7448
818	33532	7410
819	33569	7368
820	33828	7375
821	33879	7336
822	33918	7294
823	33954	7252
824	33990	7210
825	34028	7168
826	34071	7127
827	34107	7085
828	34145	7043
829	34189	7002
830	34230	6961
831	34269	6919
832	34309	6878
833	34361	6839
834	34406	6798
835	34447	6757
836	34484	6715
837	34522	6673
838	34560	6632
839	34598	6590
840	34636	6548
841	34678	6507
842	34716	6465
843	34754	6423
844	34850	6392
845	34961	6364
846	35005	6323
847	35043	6281
848	35080	6239
849	35117	6197
850	35157	6155
851	35197	6114
852	35235	6072
853	35275	6030
854	35313	5988
855	35349	5946
856	35388	5904
857	35438	5865
858	35481	5824
859	35518	5782
860	35554	5739
861	35592	5698
862	35630	5656
863	35673	5615
864	35711	5573
865	35749	5531
866	35786	5489
867	35825	5448
868	35863	5406
869	36066	5389
870	36153	5354
871	36202	5314
872	36239	5271
873	36280	5230
874	36318	5188
875	36356	5146
876	36393	5104
877	36431	5062
878	36468	5020
879	36509	4978
880	36542	4935
881	36575	4893
882	36611	4851
883	36653	4809
884	36694	4768
885	36744	4727
886	36806	4688
887	36858	4648
888	36903	4607
889	36941	4565
890	36983	4524
891	37023	4482
892	37062	4440
893	37102	4399
894	37439	4392
895	37495	4352
896	37543	4311
897	37586	4269
898	37624	4227
899	37669	4185
900	37708	4143
901	37750	4101
902	37793	4059
903	37832	4017
904	37876	3975
905	37927	3935
906	37981	3894
907	38024	3852
908	38065	3810
909	38108	3768
910	38150	3727
911	38193	3685
912	38233	3643
913	38273	3601
914	38322	3559
915	38378	3519
