iter	Passed	Remaining
0	57	57247
1	60	30082
2	64	21344
3	68	16934
4	71	14136
5	73	12231
6	75	10661
7	78	9732
8	81	9015
9	85	8426
10	87	7870
11	89	7386
12	90	6880
13	92	6534
14	94	6234
15	96	5908
16	98	5686
17	101	5527
18	102	5285
19	103	5082
20	105	4930
21	108	4803
22	110	4689
23	112	4594
24	115	4495
25	117	4408
26	120	4335
27	121	4215
28	123	4149
29	126	4093
30	129	4037
31	130	3938
32	132	3886
33	134	3829
34	137	3781
35	139	3727
36	141	3678
37	143	3637
38	145	3590
39	147	3547
40	149	3505
41	151	3464
42	154	3432
43	155	3375
44	157	3345
45	159	3313
46	161	3283
47	164	3258
48	165	3213
49	167	3177
50	169	3156
51	171	3129
52	172	3079
53	174	3061
54	176	3035
55	178	3003
56	180	2990
57	182	2962
58	183	2933
59	185	2913
60	188	2895
61	190	2881
62	193	2874
63	195	2856
64	197	2838
65	199	2829
66	201	2812
67	202	2779
68	205	2767
69	207	2758
70	210	2750
71	211	2732
72	214	2721
73	216	2708
74	218	2699
75	220	2677
76	222	2668
77	224	2657
78	226	2645
79	227	2619
80	228	2592
81	230	2585
82	233	2576
83	235	2566
84	237	2560
85	240	2551
86	242	2543
87	244	2534
88	246	2522
89	248	2515
90	249	2494
91	251	2479
92	253	2468
93	255	2457
94	257	2454
95	260	2453
96	262	2444
97	263	2429
98	265	2420
99	268	2413
100	270	2405
101	271	2393
102	273	2385
103	276	2378
104	278	2374
105	280	2364
106	282	2356
107	284	2347
108	286	2341
109	289	2339
110	291	2335
111	294	2331
112	296	2326
113	298	2323
114	300	2316
115	303	2310
116	305	2306
117	307	2300
118	310	2299
119	313	2296
120	313	2279
121	316	2274
122	318	2268
123	321	2269
124	324	2268
125	326	2266
126	329	2263
127	330	2249
128	332	2243
129	332	2228
130	335	2223
131	338	2223
132	341	2223
133	343	2217
134	345	2212
135	346	2202
136	348	2197
137	350	2192
138	351	2179
139	354	2177
140	355	2168
141	358	2165
142	360	2161
143	363	2157
144	364	2151
145	367	2149
146	369	2146
147	372	2143
148	374	2138
149	376	2135
150	378	2129
151	381	2127
152	383	2124
153	386	2120
154	388	2117
155	391	2115
156	393	2112
157	394	2102
158	396	2098
159	399	2095
160	401	2092
161	403	2088
162	406	2085
163	408	2080
164	410	2076
165	413	2075
166	416	2076
167	419	2075
168	421	2070
169	423	2067
170	425	2063
171	428	2061
172	430	2058
173	432	2053
174	434	2050
175	437	2047
176	439	2045
177	440	2034
178	441	2026
179	444	2023
180	447	2025
181	450	2023
182	452	2020
183	454	2015
184	456	2012
185	458	2008
186	461	2005
187	463	2002
188	466	2000
189	468	1997
190	470	1994
191	472	1989
192	474	1985
193	477	1982
194	479	1979
195	482	1978
196	485	1977
197	487	1976
198	490	1973
199	492	1970
200	494	1967
201	497	1963
202	499	1961
203	501	1958
204	504	1956
205	506	1951
206	508	1948
207	510	1943
208	513	1941
209	515	1938
210	518	1937
211	518	1927
212	520	1923
213	523	1922
214	526	1922
215	528	1919
216	529	1912
217	532	1908
218	534	1907
219	537	1905
220	539	1902
221	542	1900
222	544	1897
223	547	1895
224	549	1894
225	552	1892
226	555	1890
227	557	1886
228	559	1882
229	561	1878
230	563	1875
231	565	1872
232	568	1870
233	571	1870
234	574	1868
235	576	1865
236	578	1861
237	581	1861
238	583	1859
239	586	1856
240	588	1853
241	591	1852
242	595	1853
243	596	1846
244	597	1842
245	600	1841
246	603	1839
247	606	1839
248	608	1836
249	611	1833
250	613	1829
251	616	1829
252	619	1827
253	621	1825
254	623	1822
255	626	1819
256	628	1816
257	631	1816
258	634	1816
259	637	1814
260	639	1810
261	641	1805
262	642	1799
263	644	1796
264	647	1796
265	649	1792
266	652	1790
267	655	1789
268	658	1788
269	659	1784
270	661	1780
271	663	1774
272	664	1770
273	667	1768
274	670	1768
275	673	1767
276	675	1763
277	678	1762
278	681	1759
279	682	1755
280	683	1749
281	686	1748
282	689	1747
283	692	1745
284	694	1741
285	696	1738
286	698	1735
287	701	1734
288	703	1730
289	705	1726
290	706	1720
291	708	1717
292	710	1714
293	712	1710
294	713	1705
295	715	1701
296	717	1698
297	719	1694
298	720	1689
299	722	1686
300	724	1682
301	725	1677
302	727	1673
303	728	1666
304	729	1662
305	731	1658
306	733	1655
307	735	1651
308	737	1650
309	739	1646
310	740	1641
311	743	1638
312	744	1635
313	747	1632
314	748	1628
315	750	1624
316	752	1620
317	754	1617
318	755	1613
319	757	1609
320	758	1604
321	759	1598
322	760	1593
323	763	1592
324	764	1587
325	766	1585
326	769	1582
327	770	1578
328	772	1574
329	772	1569
330	774	1566
331	776	1563
332	779	1561
333	782	1560
334	785	1560
335	788	1558
336	790	1554
337	792	1552
338	794	1548
339	797	1547
340	799	1545
341	802	1543
342	804	1540
343	806	1538
344	809	1536
345	812	1535
346	814	1533
347	818	1534
348	819	1529
349	822	1528
350	823	1523
351	826	1521
352	829	1520
353	832	1518
354	835	1517
355	836	1513
356	838	1510
357	841	1508
358	842	1505
359	845	1502
360	847	1500
361	849	1497
362	850	1492
363	852	1489
364	854	1487
365	856	1484
366	859	1482
367	861	1479
368	864	1478
369	865	1474
370	867	1471
371	869	1468
372	871	1465
373	873	1461
374	875	1459
375	878	1457
376	879	1454
377	881	1450
378	883	1447
379	885	1445
380	889	1444
381	891	1442
382	892	1438
383	895	1436
384	897	1433
385	899	1430
386	900	1426
387	903	1425
388	906	1424
389	910	1424
390	912	1421
391	914	1418
392	915	1413
393	917	1410
394	919	1408
395	922	1406
396	923	1402
397	925	1399
398	926	1396
399	928	1392
400	929	1388
401	931	1385
402	933	1383
403	937	1382
404	939	1380
405	941	1376
406	942	1373
407	944	1370
408	944	1365
409	947	1362
410	949	1360
411	962	1373
412	964	1371
413	967	1369
414	970	1367
415	972	1365
416	975	1363
417	977	1360
418	979	1358
419	982	1356
420	984	1353
421	986	1351
422	989	1350
423	993	1350
424	995	1347
425	998	1345
426	999	1341
427	1002	1339
428	1004	1336
429	1007	1335
430	1009	1332
431	1012	1330
432	1013	1327
433	1016	1325
434	1018	1322
435	1021	1321
436	1023	1318
437	1025	1315
438	1027	1313
439	1030	1311
440	1032	1309
441	1034	1306
442	1037	1304
443	1038	1300
444	1040	1298
445	1043	1295
446	1045	1293
447	1047	1291
448	1049	1287
449	1050	1284
450	1052	1281
451	1054	1278
452	1056	1276
453	1059	1274
454	1062	1272
455	1064	1269
456	1066	1267
457	1069	1265
458	1072	1263
459	1074	1261
460	1076	1258
